// Reference=MNI
// Muller R A, 2001: Autistic group
// Subjects=8
-36.89	-31.24	48.05
-39.09	-16.45	46.83
-53.95	-33.12	52.86
-52.13	-29.85	12.42
-26.71	-5.69	-7.74
-15.91	-19.74	2.23
1.59	-17.64	55.38
3.72	-4.6	58.73
5.91	-1.78	67.39
63.2	-18.92	5.71
7.61	-59.04	-12.59
18.23	-59.66	-21.58
-54.64	23.41	-14.33
-30.93	14.69	8.44
-54.64	32.21	-10.6
33.29	24.91	24.69
18.63	27.9	64.75
14.28	38.11	59.48
-2.83	-58.82	18.74
1.77	-72.97	55.56
1.68	-67.31	46.17
-28.87	62.26	17.81
9.83	-71.37	-7.12
1.26	-73.88	-11.27
40.11	-85.02	33.83
37.92	-89.95	25.34
48.65	-71.94	37.09
1.62	-43.7	48.65
-30.31	-68.93	55.59
-52.12	-60.48	1.6
-9.78	56.43	-4.23
-39.03	-13.65	55.52
-45.37	-15.12	64.63
-2.63	-3.95	67.67
-56.76	10.37	-17.67
-28.79	14.71	8.41
-22.31	6.63	13.48
67.63	-41.48	16.48
33.29	24.91	24.69
28.94	35.11	19.42
28.19	-58.29	22.8
33.23	-15.22	1.29
35.49	-11.72	18.81
33.21	-0.07	4.48

// Muller R A, 2001: Healthy controls
// Subjects=0
-41.15	-17.9	55.9
8.07	-6	67.72
-56.37	-20.73	20.62
-13.77	-19.73	2.21
-59.73	10.63	13.57
-20.3	-5.65	-7.82
22.42	-53.97	-31.02
20.39	-74.79	-24.79
65.6	-16.17	41.14
61.21	-21.8	23.82
69.61	9.64	16.63
1.46	-73.94	15.5
5.95	-67.28	46.11
20.94	-93.26	39.2
-11.47	47.84	50.04
3.03	60.74	-4.74
31.42	27.64	60.17
-47.95	-59.37	-11.92
-45.69	-75.59	-1.66
26.58	-4.62	-26.29
30.78	3.52	-31.48
32.87	18.34	-32.75
-2.83	-58.82	18.74
1.77	-72.97	55.56
1.68	-67.31	46.17
-28.87	62.26	17.81
9.83	-71.37	-7.12
1.26	-73.88	-11.27
40.11	-85.02	33.83
37.92	-89.95	25.34
48.65	-71.94	37.09
1.62	-43.7	48.65
-30.31	-68.93	55.59
-52.12	-60.48	1.6
-9.78	56.43	-4.23
-39.03	-13.65	55.52
-45.37	-15.12	64.63
-2.63	-3.95	67.67
-56.76	10.37	-17.67
-28.79	14.71	8.41
-22.31	6.63	13.48
67.63	-41.48	16.48
33.29	24.91	24.69
28.94	35.11	19.42
28.19	-58.29	22.8
33.23	-15.22	1.29
35.49	-11.72	18.81
33.21	-0.07	4.48

// Müller R A, 2003: Patients with Autism
// Subjects=8
-56.78	15.66	-18.11
-27.84	53.04	8.53
-40.76	51.93	-4.61
55.83	10.67	31.2
-27.24	-3.38	63.44
46.37	2.38	48.73
33.19	1.87	2.09
-36.73	-25.13	72.06
-27.08	-67.6	58.79
46.46	-36.2	45.27
40.07	-35.99	48.67
-27.24	-92.37	27.41
36.85	-79.04	28.9
23.63	-63.43	-15.75
49.39	-65.42	-2.49
-21.47	22.98	-9.09
1.27	-23.18	11.24
10.8	-27.32	-1.9
-40.4	9.58	25.7
-40.8	54.85	-8.2
-24.65	56.23	8.23
-8.3	39.86	42.87
-31.12	32.44	-9.78
55.72	26.01	23.22
49.13	30.78	2.82
-46.68	17.42	45.19
46.26	24.33	43.54
39.95	18.71	54.12
-30.3	-71.05	55.77
-39.96	-58.41	54.82
-36.86	-52.82	44.28
20.99	-77.34	52.36
36.96	-81.19	42.46
30.17	-75.31	-4.79
65.28	-27.25	-5.88
39.69	45.72	31.79
-17.76	-64.02	21.58
-20.57	-46.73	80.38
21.12	-56.25	77.36
53.06	-50.74	63.14
8.11	-61.56	51.19
11.02	-51.42	16.85
-8.17	-103.83	1.39
-17.65	-105.77	18.39
-11.57	-59.69	-5.62
7.9	-73.64	18.75
17.48	-70.67	15.04
-11.57	-59.69	-5.62
-27.22	-3.12	66.76
40.07	-6.41	59.58
36.75	8.92	51.64
-46.43	-29.39	59.15
-20.6	-50.41	74
-24.21	-61.14	18.07
37.1	-69.87	64.93
53.04	-47.57	62.88
71.97	-34.16	28.08
27.4	-90.5	46.7
-40.31	-62.01	8.29
71.93	-44.45	18.91
-8.35	-69.45	-8.18
-43.49	20.62	44.89
-21.45	52.82	5.13
-30.46	-6.83	60.42
49.55	2.14	45.37
11.31	-5.55	73.22
-27.04	-70.51	62.38
52.81	-33.51	38.28
-27.17	-71.8	45.76
-18.16	57.04	18.12
-8.25	40.37	49.52
-40.77	55.1	-4.87
-46.68	17.42	45.19
-49.66	-65.84	42.17
-39.92	-71.1	55.88
-8.07	-56.59	34.23
-36.74	-77.94	49.73
49.75	-71.59	41.51
65.28	-27.25	-5.88

// Müller R A, 2003: Normals
// Subjects=8
58.95	13.09	20.92
-27.27	2.96	62.91
36.86	.17	62.41
58.95	13.09	20.92
-30.27	-57.59	64.68
-39.95	-35.18	66.25
43.43	-54.23	60.2
-30.5	-92.91	20.8
-11.39	-107.28	-1.63
42.88	-66.48	-15.71
17.45	-103.93	-2.24
20.5	-82.48	-14.11
29.98	-54.13	-19.95
-11.59	-20.34	7.81
-14.99	3.99	-7.58
20.22	13.46	-12.12
-21.32	-57.87	-22.39
-34.27	23.16	-5.62
-46.89	31.74	23.92
55.84	14.1	34.26
55.68	22.33	16.84
42.53	25.51	-23.42
-24.06	2.98	62.87
-1.69	8.95	55.42
-49.97	3.43	29.67
33.63	6.5	61.91
-27.13	-61.51	54.93
-20.8	-59.07	44.62
27.35	-48.24	56.54
-30.54	-96.59	14.42
-8.23	-101.17	-5.53
-30.78	-79.36	-10.44
7.86	-70.73	15.16
23.72	-85.63	-13.89
20.66	-90.71	3.3
65.28	-56.83	-16.78
-2.03	-30.83	-4.8
-14.71	-29.37	15.29
-8.34	-16.64	14.15
23.76	-29.13	14.83
7.58	-30.77	-4.92
7.56	-73.81	-24.73
39.69	45.72	31.79
-17.76	-64.02	21.58
-20.57	-46.73	80.38
21.12	-56.25	77.36
53.06	-50.74	63.14
8.11	-61.56	51.19
11.02	-51.42	16.85
-8.17	-103.83	1.39
-17.65	-105.77	18.39
-11.57	-59.69	-5.62
7.9	-73.64	18.75
17.48	-70.67	15.04
-11.57	-59.69	-5.62
-27.22	-3.12	66.76
40.07	-6.41	59.58
36.75	8.92	51.64
-46.43	-29.39	59.15
-20.6	-50.41	74
-24.21	-61.14	18.07
37.1	-69.87	64.93
53.04	-47.57	62.88
71.97	-34.16	28.08
27.4	-90.5	46.7
-40.31	-62.01	8.29
71.93	-44.45	18.91
-8.35	-69.45	-8.18
-43.49	20.62	44.89
-21.45	52.82	5.13
-30.46	-6.83	60.42
49.55	2.14	45.37
11.31	-5.55	73.22
-27.04	-70.51	62.38
52.81	-33.51	38.28
-27.17	-71.8	45.76
-18.16	57.04	18.12
-8.25	40.37	49.52
-40.77	55.1	-4.87
-46.68	17.42	45.19
-49.66	-65.84	42.17
-39.92	-71.1	55.88
-8.07	-56.59	34.23
-36.74	-77.94	49.73
49.75	-71.59	41.51
65.28	-27.25	-5.88

// Hubl D, 2003: Autistic group
// Subjects=20
38.55	-50.65	-16.99
-39.44	-59.66	-16.45
45.11	-77.59	-8.12
-48.94	-73.92	-7.34
29.38	-68	34.75
-27.2	-68.8	43.28
40.87	10.58	31.38
-38.22	11.07	31.13
44.91	7.15	.39
-36.33	16.26	1.68
48.21	23.51	19.06
47.37	-51.03	18.63

